Variables in Model,p,SSE,R_Squared,Adjusted R_Squared,Cp,AIC,BIC
"['x1', 'x9', 'x7_4']",3,110.04467211060505,0.45354668374214835,0.4385066842121158,26.78962301486797,5.005338945179199,15.914890220028562
"['x1', 'x9', 'x6_2']",3,115.59307005714487,0.42599477777838135,0.4101964689098965,33.43439063229525,10.563765258289312,21.473316533138675
"['x1', 'x10', 'x7_2']",3,133.94900761961333,0.3348439500131748,0.316536902765831,55.41748209001463,27.21806465887988,38.127615933729246
"['x1', 'x10', 'x7_3']",3,131.3555660709585,0.34772230847981145,0.3297697114654943,52.31157357619958,25.008768180598896,35.918319455448255
"['x1', 'x10', 'x7_4']",3,125.5864665399681,0.3763701613023469,0.35920603730149414,45.402493493155674,19.933554731327547,30.84310600617691
"['x1', 'x10', 'x6_2']",3,133.79240156660907,0.3356216150774388,0.317335971455717,55.22993050490442,27.085873780663377,37.99542505551274
"['x1', 'x7_2', 'x7_3']",3,137.24616369363213,0.31847112762830765,0.2997134522419308,59.36615991041265,29.965879036360725,40.87543031121009
"['x1', 'x7_2', 'x7_4']",3,131.90406740237776,0.3449985930488113,0.32697103138960426,52.96845938724766,25.47963976328898,36.38919103813834
"['x1', 'x7_2', 'x6_2']",3,140.81716366585928,0.3007384674299213,0.281492737175699,63.64279349111797,32.86842060385732,43.77797187870668
"['x1', 'x7_3', 'x7_4']",3,131.88772231554304,0.34507975851310946,0.3270544307657638,52.9488844928818,25.46563633417042,36.37518760901978
"['x1', 'x7_3', 'x6_2']",3,137.40244447426346,0.31769507778231887,0.29891604322586884,59.55332194896343,30.094477759180585,41.00402903402995
"['x1', 'x7_4', 'x6_2']",3,132.1521698874831,0.34376658042014596,0.3257051101564802,53.26558720228829,25.691985355687944,36.60153663053731
"['x2', 'x3', 'x4']",3,111.69681313602474,0.44534257967285296,0.43007677911339015,28.7682289639921,6.689240272298368,17.59879154714773
"['x2', 'x3', 'x5']",3,98.98720289998064,0.5084552095587509,0.49492645385853296,13.547185459126794,-6.960888184361821,3.9486630904875426
"['x2', 'x3', 'x9']",3,93.97699700866413,0.5333345932847784,0.5204905912650933,7.546957251987251,-12.830169034136478,-1.920617759287115
"['x2', 'x3', 'x10']",3,107.03793654709813,0.46847735315373473,0.45384828947906686,23.18875312430481,1.8748915092333878,12.784442784082751
"['x2', 'x3', 'x7_2']",3,115.43788028510862,0.4267654099584951,0.41098831115001344,33.248535186864274,10.411954889577249,21.321506164426612
"['x2', 'x3', 'x7_3']",3,114.70391315127083,0.4304101004884179,0.4147333142633285,32.36953532236777,9.691194300424742,20.600745575274107
"['x2', 'x3', 'x7_4']",3,115.84253624601358,0.4247559933503221,0.4089235894975787,33.73315162049573,10.807372460397762,21.716923735247125
